id,activity,speaker,segment_num,words_sum,num_utt_sum,mlu_w,language,speech
20004,ods,ADULTS,13,273,63,4.333333333333333,english,all
20004,ods,CHI,13,12,8,1.5,english,all
20004,play,ADULTS,13,36,13,2.769230769230769,english,all
20004,play,CHI,13,2,2,1,english,all
20004,ac,ADULTS,4,209,64,3.265625,english,all
20004,ac,CHI,4,26,22,1.1818181818181819,english,all
20004,ods,ADULTS,4,376,95,3.957894736842105,english,all
20004,ods,CHI,4,32,28,1.1428571428571428,english,all
20004,play,ADULTS,4,49,14,3.5,english,all
20004,play,CHI,4,1,1,1,english,all
20004,ac,ADULTS,7,99,31,3.193548387096774,english,all
20004,ac,CHI,7,19,15,1.2666666666666666,english,all
20004,ods,ADULTS,7,108,27,4,english,all
20004,ods,CHI,7,14,14,1,english,all
20004,play,ADULTS,7,104,31,3.3548387096774195,english,all
20004,play,CHI,7,3,3,1,english,all
20004,ac,ADULTS,9,88,32,2.75,english,all
20004,ac,CHI,9,1,1,1,english,all
20004,ods,ADULTS,9,503,129,3.89922480620155,english,all
20004,ods,CHI,9,19,19,1,english,all
20004,play,ADULTS,9,9,4,2.25,english,all
20004,play,CHI,9,1,1,1,english,all
20007,ac,ADULTS,13,127,35,3.6285714285714286,english,all
20007,ac,CHI,13,23,22,1.0454545454545454,english,all
20007,ods,ADULTS,13,42,12,3.5,english,all
20007,ac,ADULTS,14,53,17,3.1176470588235294,english,all
20007,ac,CHI,14,3,3,1,english,all
20007,conv,ADULTS,14,84,37,2.27027027027027,english,all
20007,conv,CHI,14,17,14,1.2142857142857142,english,all
20007,ods,ADULTS,14,184,37,4.972972972972973,english,all
20007,ods,CHI,14,17,16,1.0625,english,all
20007,ac,ADULTS,15,106,23,4.608695652173913,english,all
20007,ac,CHI,15,3,3,1,english,all
20007,conv,ADULTS,15,50,16,3.125,english,all
20007,conv,CHI,15,10,10,1,english,all
20007,food,ADULTS,15,9,4,2.25,english,all
20007,food,CHI,15,2,2,1,english,all
20007,ods,ADULTS,15,240,53,4.528301886792453,english,all
20007,ods,CHI,15,22,22,1,english,all
20007,ac,ADULTS,17,72,23,3.130434782608696,english,all
20007,ac,CHI,17,13,12,1.0833333333333333,english,all
20007,conv,ADULTS,17,34,15,2.2666666666666666,english,all
20007,conv,CHI,17,15,9,1.6666666666666667,english,all
20007,ods,ADULTS,17,152,36,4.222222222222222,english,all
20007,ods,CHI,17,41,31,1.3225806451612903,english,all
20007,ac,ADULTS,20,59,18,3.2777777777777777,english,all
20007,ac,CHI,20,5,5,1,english,all
20007,ods,ADULTS,20,155,38,4.078947368421052,english,all
20007,ods,CHI,20,1,1,1,english,all
20007,ac,ADULTS,22,51,19,2.6842105263157894,english,all
20007,conv,ADULTS,22,74,33,2.242424242424242,english,all
20007,conv,CHI,22,4,4,1,english,all
20007,ods,ADULTS,22,289,77,3.7532467532467533,english,all
20007,ods,CHI,22,11,10,1.1,english,all
20034,food,ADULTS,10,218,47,4.638297872340425,english,all
20034,food,CHI,10,40,23,1.7391304347826086,english,all
20034,ods,ADULTS,10,163,34,4.794117647058823,english,all
20034,ods,CHI,10,80,33,2.4242424242424243,english,all
20034,ac,ADULTS,2,142,28,5.071428571428571,english,all
20034,ac,CHI,2,25,13,1.9230769230769231,english,all
20034,books,ADULTS,2,532,73,7.287671232876712,english,all
20034,books,CHI,2,46,24,1.9166666666666667,english,all
