id,rectime,speaker,Speaker2,activity,segment_num,language,speech,n_speakers
20056,42773,GFA,ADULTS,conv,5,english,all,2
20056,51473,CHI,CHI,conv,7,english,all,1
20056,51473,MOT,ADULTS,conv,7,english,all,3
20056,51473,GMA,ADULTS,conv,7,english,all,3
20056,51473,ADF,ADULTS,conv,7,english,all,3
20056,47273,CHI,CHI,conv,9,english,all,1
20056,47273,GMA,ADULTS,conv,9,english,all,1
20071,8208,CHI,CHI,conv,11,english,all,1
20071,8208,MOT,ADULTS,conv,11,english,all,1
20071,108,CHI,CHI,conv,13,english,all,1
20071,108,MOT,ADULTS,conv,13,english,all,2
20071,108,FAT,ADULTS,conv,13,english,all,2
20071,28008,CHI,CHI,conv,15,english,all,1
20071,28008,MOT,ADULTS,conv,15,english,all,2
20071,28008,ADM,ADULTS,conv,15,english,all,2
20073,2019,CHI,CHI,conv,1,english,all,1
20073,2019,MOT,ADULTS,conv,1,english,all,4
20073,2019,FAT,ADULTS,conv,1,english,all,4
20073,2019,GMA,ADULTS,conv,1,english,all,4
20073,2019,GFA,ADULTS,conv,1,english,all,4
20073,13818,GMA,ADULTS,conv,4,english,all,3
20073,13818,CHI,CHI,conv,4,english,all,1
20073,13818,MOT,ADULTS,conv,4,english,all,3
20073,13818,ADF,ADULTS,conv,4,english,all,3
20073,4118,CHI,CHI,conv,6,english,all,1
20073,4118,MOT,ADULTS,conv,6,english,all,3
20073,4118,GMA,ADULTS,conv,6,english,all,3
20073,4118,GFA,ADULTS,conv,6,english,all,3
20086,36922,CHI,CHI,conv,10,english,all,1
20086,36922,MOT,ADULTS,conv,10,english,all,4
20086,36922,FAT,ADULTS,conv,10,english,all,4
20086,36922,GMA,ADULTS,conv,10,english,all,4
20086,36922,GFA,ADULTS,conv,10,english,all,4
20086,32122,CHI,CHI,conv,12,english,all,1
20086,32122,MOT,ADULTS,conv,12,english,all,3
20086,32122,GMA,ADULTS,conv,12,english,all,3
20086,32122,GFA,ADULTS,conv,12,english,all,3
20086,36322,CHI,CHI,conv,6,english,all,1
20086,36322,MOT,ADULTS,conv,6,english,all,3
20086,36322,FAT,ADULTS,conv,6,english,all,3
20086,36322,GFA,ADULTS,conv,6,english,all,3
20108,25796,CHI,CHI,conv,12,english,all,1
20108,25796,MOT,ADULTS,conv,12,english,all,2
20108,25796,FAT,ADULTS,conv,12,english,all,2
20108,22496,CHI,CHI,conv,13,english,all,1
20108,22496,MOT,ADULTS,conv,13,english,all,2
20108,22496,FAT,ADULTS,conv,13,english,all,2
20108,14096,CHI,CHI,conv,2,english,all,1
20108,14096,MOT,ADULTS,conv,2,english,all,2
20108,14096,FAT,ADULTS,conv,2,english,all,2
20108,7796,CHI,CHI,conv,5,english,all,1
20108,7796,MOT,ADULTS,conv,5,english,all,1
20112,17703,CHI,CHI,conv,1,english,all,1
20112,17703,FAT,ADULTS,conv,1,english,all,1
20112,17103,CHI,CHI,conv,2,english,all,1
20112,17103,FAT,ADULTS,conv,2,english,all,1
20112,23703,FAT,ADULTS,conv,4,english,all,1
20112,19503,CHI,CHI,conv,6,english,all,1
20112,19503,FAT,ADULTS,conv,6,english,all,2
20112,19503,ADM,ADULTS,conv,6,english,all,2
20113,14481,CHI,CHI,conv,11,english,all,1
20113,14481,MOT,ADULTS,conv,11,english,all,2
20113,14481,FAT,ADULTS,conv,11,english,all,2
20113,24851,CHI,CHI,conv,12,english,all,1
20113,24851,FAT,ADULTS,conv,12,english,all,1
20113,1506,CHI,CHI,conv,13,english,all,1
20113,1506,MOT,ADULTS,conv,13,english,all,1
20113,6081,CHI,CHI,conv,9,english,all,1
20113,6081,MOT,ADULTS,conv,9,english,all,1
20114,2255,CHI,CHI,conv,11,english,all,1
20114,2255,ADF,ADULTS,conv,11,english,all,1
20114,34355,CHI,CHI,conv,6,english,all,1
20114,34355,GFA,ADULTS,conv,6,english,all,1
20114,7055,CHI,CHI,conv,7,english,all,1
20114,7055,GMA,ADULTS,conv,7,english,all,1
20117,6529,CHI,CHI,conv,12,english,all,1
20117,6529,MOT,ADULTS,conv,12,english,all,1
20117,20329,CHI,CHI,conv,31,english,all,1
20117,20329,MOT,ADULTS,conv,31,english,all,1
20117,4129,CHI,CHI,conv,34,english,all,1
20117,4129,MOT,ADULTS,conv,34,english,all,2
20117,4129,FAT,ADULTS,conv,34,english,all,2
20121,6612,CHI,CHI,conv,3,english,all,1
